date,reservoir_id,reservoir_name,storage_pct,inflow_mcm,outflow_mcm,rainfall_mm,temperature_c,evaporation_mm,catchment_rainfall_mm,capacity_mcm,dam_release_mcm,groundwater_recharge_mcm,season,month,location_lat,location_lng
2023-01-01,RES-A,Reservoir A,62.0,0.565,1.188,0.24,28.37,4.29,0.26,320.0,0.999,0.142,winter,1,19.076,72.8777
2023-01-02,RES-A,Reservoir A,62.273,1.308,1.048,0.51,26.75,3.47,0.61,320.0,0.821,0.123,winter,1,19.076,72.8777
2023-01-03,RES-A,Reservoir A,61.572,0.938,1.073,0.16,28.9,3.76,0.19,320.0,0.905,0.09,winter,1,19.076,72.8777
2023-01-04,RES-A,Reservoir A,61.682,0.322,1.37,0.02,29.13,3.95,0.02,320.0,1.121,0.08,winter,1,19.076,72.8777
2023-01-05,RES-A,Reservoir A,61.563,1.181,1.187,0.91,25.66,3.26,1.06,320.0,0.992,0.158,winter,1,19.076,72.8777
2023-01-06,RES-A,Reservoir A,61.541,0.304,0.937,0.05,26.44,3.3,0.07,320.0,0.799,0.065,winter,1,19.076,72.8777
2023-01-07,RES-A,Reservoir A,61.579,0.786,1.321,0.01,28.15,3.86,0.01,320.0,1.13,0.076,winter,1,19.076,72.8777
2023-01-08,RES-A,Reservoir A,61.926,0.757,1.162,1.09,27.62,3.55,1.24,320.0,0.927,0.102,winter,1,19.076,72.8777
2023-01-09,RES-A,Reservoir A,61.867,1.552,1.641,1.15,27.98,3.64,1.32,320.0,1.391,0.18,winter,1,19.076,72.8777
2023-01-10,RES-A,Reservoir A,61.026,1.08,1.374,0.3,26.98,3.5,0.35,320.0,1.164,0.107,winter,1,19.076,72.8777
2023-01-11,RES-A,Reservoir A,61.2,1.668,1.132,0.41,29.06,4.14,0.47,320.0,0.981,0.079,winter,1,19.076,72.8777
2023-01-12,RES-A,Reservoir A,61.287,1.206,1.12,0.22,28.93,3.9,0.25,320.0,0.981,0.088,winter,1,19.076,72.8777
2023-01-13,RES-A,Reservoir A,60.868,0.784,0.942,0.27,28.08,3.82,0.33,320.0,0.764,0.109,winter,1,19.076,72.8777
2023-01-14,RES-A,Reservoir A,60.933,1.155,1.07,0.14,29.35,4.2,0.16,320.0,0.837,0.079,winter,1,19.076,72.8777
2023-01-15,RES-A,Reservoir A,60.51,0.371,1.276,0.12,28.56,3.88,0.14,320.0,1.104,0.07,winter,1,19.076,72.8777
2023-01-16,RES-A,Reservoir A,59.765,0.565,1.407,0.21,26.97,3.65,0.24,320.0,1.235,0.071,winter,1,19.076,72.8777
2023-01-17,RES-A,Reservoir A,60.073,1.356,1.11,0.9,28.44,4.05,1.01,320.0,0.957,0.135,winter,1,19.076,72.8777
2023-01-18,RES-A,Reservoir A,59.85,0.841,0.918,1.6,26.85,3.92,1.94,320.0,0.785,0.149,winter,1,19.076,72.8777
2023-01-19,RES-A,Reservoir A,59.811,1.185,0.83,0.81,29.05,3.94,0.94,320.0,0.688,0.107,winter,1,19.076,72.8777
2023-01-20,RES-A,Reservoir A,59.641,0.743,0.728,0.61,27.94,3.88,0.68,320.0,0.571,0.071,winter,1,19.076,72.8777
2023-01-21,RES-A,Reservoir A,59.994,0.998,1.228,0.33,27.78,3.6,0.41,320.0,0.992,0.099,winter,1,19.076,72.8777
2023-01-22,RES-A,Reservoir A,59.888,0.507,0.772,0.17,27.18,3.5,0.21,320.0,0.634,0.083,winter,1,19.076,72.8777
2023-01-23,RES-A,Reservoir A,59.928,1.198,1.121,0.5,29.47,4.27,0.61,320.0,0.969,0.095,winter,1,19.076,72.8777
2023-01-24,RES-A,Reservoir A,59.718,0.824,0.967,0.03,27.81,3.97,0.04,320.0,0.86,0.088,winter,1,19.076,72.8777
2023-01-25,RES-A,Reservoir A,60.407,2.253,0.587,1.93,27.49,3.93,2.39,320.0,0.401,0.199,winter,1,19.076,72.8777
2023-01-26,RES-A,Reservoir A,60.97,1.106,0.802,0.62,27.58,3.89,0.71,320.0,0.584,0.132,winter,1,19.076,72.8777
2023-01-27,RES-A,Reservoir A,61.261,1.052,0.845,1.05,28.64,3.95,1.25,320.0,0.614,0.149,winter,1,19.076,72.8777
2023-01-28,RES-A,Reservoir A,61.429,0.717,0.901,0.01,28.44,4.12,0.01,320.0,0.741,0.073,winter,1,19.076,72.8777
2023-01-29,RES-A,Reservoir A,61.434,0.355,0.968,0.05,28.5,4.2,0.06,320.0,0.789,0.066,winter,1,19.076,72.8777
2023-01-30,RES-A,Reservoir A,60.891,1.291,1.44,0.71,28.52,4.2,0.81,320.0,1.297,0.084,winter,1,19.076,72.8777
2023-01-31,RES-A,Reservoir A,60.599,1.013,0.915,0.01,30.57,4.14,0.02,320.0,0.738,0.063,winter,1,19.076,72.8777
2023-02-01,RES-A,Reservoir A,60.733,1.854,1.152,0.38,31.51,4.7,0.46,320.0,0.986,0.1,winter,2,19.076,72.8777
2023-02-02,RES-A,Reservoir A,60.274,0.646,1.247,0.13,31.39,4.33,0.15,320.0,1.094,0.063,winter,2,19.076,72.8777
2023-02-03,RES-A,Reservoir A,59.762,0.799,1.204,0.19,31.02,4.41,0.23,320.0,1.047,0.092,winter,2,19.076,72.8777
2023-02-04,RES-A,Reservoir A,58.976,0.905,1.275,0.62,32.74,4.51,0.72,320.0,1.102,0.082,winter,2,19.076,72.8777
2023-02-05,RES-A,Reservoir A,58.434,0.941,1.095,0.14,33.35,4.58,0.15,320.0,0.96,0.037,winter,2,19.076,72.8777
2023-02-06,RES-A,Reservoir A,58.253,1.027,1.292,0.19,31.86,4.1,0.22,320.0,1.154,0.114,winter,2,19.076,72.8777
2023-02-07,RES-A,Reservoir A,58.077,1.019,1.461,0.48,30.99,4.43,0.57,320.0,1.225,0.09,winter,2,19.076,72.8777
2023-02-08,RES-A,Reservoir A,57.696,1.224,1.483,0.09,31.01,5.07,0.11,320.0,1.198,0.059,winter,2,19.076,72.8777
2023-02-09,RES-A,Reservoir A,57.576,0.888,1.313,0.61,32.78,4.32,0.75,320.0,1.223,0.078,winter,2,19.076,72.8777
2023-02-10,RES-A,Reservoir A,57.481,1.615,1.415,0.94,32.89,4.47,1.17,320.0,1.328,0.14,winter,2,19.076,72.8777
2023-02-11,RES-A,Reservoir A,57.944,1.584,1.328,1.2,32.65,4.28,1.47,320.0,1.226,0.181,winter,2,19.076,72.8777
2023-02-12,RES-A,Reservoir A,57.807,0.984,1.202,0.38,31.2,4.1,0.47,320.0,1.058,0.087,winter,2,19.076,72.8777
2023-02-13,RES-A,Reservoir A,57.949,0.752,1.021,0.13,32.28,4.84,0.15,320.0,0.826,0.08,winter,2,19.076,72.8777
2023-02-14,RES-A,Reservoir A,58.216,1.694,1.042,0.09,32.14,4.15,0.1,320.0,0.862,0.117,winter,2,19.076,72.8777
2023-02-15,RES-A,Reservoir A,57.558,0.558,1.026,0.09,32.26,4.23,0.1,320.0,0.867,0.03,winter,2,19.076,72.8777
2023-02-16,RES-A,Reservoir A,57.476,0.913,1.062,0.02,33.05,3.99,0.02,320.0,0.886,0.14,winter,2,19.076,72.8777
2023-02-17,RES-A,Reservoir A,57.055,0.869,0.842,0.67,32.27,4.14,0.77,320.0,0.727,0.187,winter,2,19.076,72.8777
2023-02-18,RES-A,Reservoir A,57.257,1.589,0.75,0.33,32.81,3.93,0.38,320.0,0.613,0.016,winter,2,19.076,72.8777
2023-02-19,RES-A,Reservoir A,57.293,1.657,0.685,1.09,32.08,4.54,1.36,320.0,0.536,0.132,winter,2,19.076,72.8777
2023-02-20,RES-A,Reservoir A,57.431,0.594,0.507,0.06,32.35,5.22,0.07,320.0,0.436,0.062,winter,2,19.076,72.8777
2023-02-21,RES-A,Reservoir A,57.276,1.74,0.719,1.52,32.76,4.32,1.89,320.0,0.627,0.148,winter,2,19.076,72.8777
2023-02-22,RES-A,Reservoir A,57.43,1.033,0.525,0.29,30.25,3.63,0.35,320.0,0.431,0.082,winter,2,19.076,72.8777
2023-02-23,RES-A,Reservoir A,57.606,0.648,0.689,0.06,31.62,4.56,0.07,320.0,0.501,0.107,winter,2,19.076,72.8777
2023-02-24,RES-A,Reservoir A,58.005,1.07,0.765,0.01,31.44,4.05,0.01,320.0,0.603,0.077,winter,2,19.076,72.8777
2023-02-25,RES-A,Reservoir A,57.82,0.991,0.664,0.11,31.23,4.64,0.13,320.0,0.483,0.058,winter,2,19.076,72.8777
2023-02-26,RES-A,Reservoir A,57.98,1.346,0.829,0.95,31.67,4.22,1.14,320.0,0.771,0.122,winter,2,19.076,72.8777
2023-02-27,RES-A,Reservoir A,58.002,0.839,0.94,0.11,33.79,4.37,0.12,320.0,0.864,0.101,winter,2,19.076,72.8777
2023-02-28,RES-A,Reservoir A,58.641,1.257,0.899,0.61,30.96,4.16,0.76,320.0,0.716,0.075,winter,2,19.076,72.8777
2023-03-01,RES-A,Reservoir A,58.129,0.9,0.794,0.04,36.09,5.06,0.05,320.0,0.782,0.033,summer,3,19.076,72.8777
2023-03-02,RES-A,Reservoir A,57.736,0.964,1.192,0.29,32.91,4.38,0.33,320.0,0.981,0.154,summer,3,19.076,72.8777
2023-03-03,RES-A,Reservoir A,58.676,0.819,0.904,0.49,34.53,4.49,0.59,320.0,0.845,0.085,summer,3,19.076,72.8777
2023-03-04,RES-A,Reservoir A,58.805,1.826,1.076,0.87,35.12,4.66,1.05,320.0,0.884,0.12,summer,3,19.076,72.8777
2023-03-05,RES-A,Reservoir A,57.932,0.698,1.332,0.54,35.63,4.39,0.63,320.0,1.226,0.095,summer,3,19.076,72.8777
2023-03-06,RES-A,Reservoir A,57.569,0.961,1.421,0.02,35.78,4.91,0.03,320.0,1.218,0.098,summer,3,19.076,72.8777
2023-03-07,RES-A,Reservoir A,56.456,1.057,1.517,0.75,35.88,4.27,0.85,320.0,1.207,0.171,summer,3,19.076,72.8777
2023-03-08,RES-A,Reservoir A,56.56,1.417,1.313,0.0,34.51,4.51,0.0,320.0,1.277,0.098,summer,3,19.076,72.8777
2023-03-09,RES-A,Reservoir A,56.662,0.533,1.037,0.1,34.37,4.85,0.11,320.0,0.852,0.039,summer,3,19.076,72.8777
2023-03-10,RES-A,Reservoir A,56.241,1.133,1.411,1.2,35.96,4.91,1.37,320.0,1.352,0.099,summer,3,19.076,72.8777
2023-03-11,RES-A,Reservoir A,55.873,0.767,1.368,0.63,34.7,4.84,0.7,320.0,1.197,0.099,summer,3,19.076,72.8777
2023-03-12,RES-A,Reservoir A,56.12,1.201,1.408,0.59,33.4,4.49,0.67,320.0,1.268,0.101,summer,3,19.076,72.8777
2023-03-13,RES-A,Reservoir A,55.231,0.491,1.3,0.35,33.57,4.88,0.4,320.0,1.144,0.046,summer,3,19.076,72.8777
2023-03-14,RES-A,Reservoir A,54.688,0.932,1.159,0.61,33.82,4.84,0.71,320.0,1.054,0.135,summer,3,19.076,72.8777
2023-03-15,RES-A,Reservoir A,54.257,0.096,1.149,0.1,35.52,4.9,0.11,320.0,0.96,0.052,summer,3,19.076,72.8777
2023-03-16,RES-A,Reservoir A,53.981,1.073,1.085,0.39,35.1,4.99,0.43,320.0,1.007,0.144,summer,3,19.076,72.8777
2023-03-17,RES-A,Reservoir A,53.766,0.735,1.065,0.22,35.76,5.02,0.26,320.0,0.853,0.146,summer,3,19.076,72.8777
2023-03-18,RES-A,Reservoir A,53.08,0.376,1.108,0.2,34.42,4.5,0.22,320.0,0.978,0.082,summer,3,19.076,72.8777
2023-03-19,RES-A,Reservoir A,53.398,1.445,0.64,0.53,35.12,4.31,0.64,320.0,0.56,0.12,summer,3,19.076,72.8777
2023-03-20,RES-A,Reservoir A,53.171,0.415,0.902,0.14,35.68,4.91,0.18,320.0,0.672,0.05,summer,3,19.076,72.8777
2023-03-21,RES-A,Reservoir A,53.398,1.315,1.168,0.48,34.56,4.81,0.56,320.0,1.021,0.123,summer,3,19.076,72.8777
2023-03-22,RES-A,Reservoir A,53.402,0.685,0.835,0.26,35.48,5.08,0.32,320.0,0.59,0.078,summer,3,19.076,72.8777
2023-03-23,RES-A,Reservoir A,54.015,2.569,0.838,2.47,34.13,4.32,2.75,320.0,0.626,0.171,summer,3,19.076,72.8777
2023-03-24,RES-A,Reservoir A,53.65,1.128,0.629,0.13,34.49,4.37,0.15,320.0,0.519,0.078,summer,3,19.076,72.8777
2023-03-25,RES-A,Reservoir A,53.684,0.465,0.847,0.04,34.47,4.77,0.04,320.0,0.702,0.068,summer,3,19.076,72.8777
2023-03-26,RES-A,Reservoir A,53.66,1.03,0.708,1.11,33.49,4.5,1.35,320.0,0.552,0.126,summer,3,19.076,72.8777
2023-03-27,RES-A,Reservoir A,53.912,1.862,0.882,1.71,35.51,4.2,2.09,320.0,0.656,0.194,summer,3,19.076,72.8777
2023-03-28,RES-A,Reservoir A,54.253,0.983,1.013,0.56,34.36,4.74,0.62,320.0,0.842,0.085,summer,3,19.076,72.8777
