temperature_c,rainfall_deficit_pct,precip_mm,storage_pct,day_of_week,month,is_weekend,is_heatwave,demand_mgd
38.31,-1.7,3.4,16.78,0,10,0,1,86.892
26.92,45.68,2.63,39.3,0,8,0,0,55.605
41.19,-41.07,0.73,12.35,5,11,1,1,92.213
35.71,-76.36,0.0,17.67,0,10,0,0,76.286
15.2,28.59,0.0,34.12,1,5,0,0,59.412
45.17,18.33,1.26,30.66,5,8,1,1,85.318
37.88,-3.63,1.25,86.51,3,5,0,0,69.33
38.73,34.15,1.34,85.97,3,2,0,1,86.831
16.36,37.61,3.89,59.12,4,1,0,0,46.029
27.31,2.31,2.81,72.48,4,1,0,0,57.363
24.61,55.23,0.19,94.97,2,12,0,0,54.61
43.51,20.76,2.71,44.87,6,11,1,1,80.083
33.89,14.76,2.05,54.41,1,5,0,0,75.463
39.97,-29.4,0.86,65.35,1,11,0,1,87.355
27.08,-79.68,0.86,88.25,3,9,0,0,66.987
19.73,-46.27,0.91,77.75,6,2,1,0,46.895
30.86,26.95,0.0,15.48,6,3,1,0,66.549
14.17,19.38,2.67,70.6,5,5,1,0,37.223
40.14,-33.66,4.75,31.41,0,10,0,1,95.657
33.48,7.58,0.24,31.67,5,8,1,0,59.907
37.77,-52.66,4.47,56.52,1,5,0,0,87.398
24.05,-43.09,0.94,69.19,6,11,1,0,49.14
45.0,52.64,13.66,23.53,0,4,0,1,104.796
42.37,-22.15,1.14,36.73,0,11,0,1,89.086
38.47,-45.7,9.61,70.87,3,9,0,1,83.513
18.62,-11.8,4.12,22.92,3,9,0,0,46.652
27.87,-25.82,0.0,82.23,2,2,0,0,59.67
13.49,22.13,1.01,48.76,3,2,0,0,45.227
17.25,54.7,2.06,59.81,5,12,1,0,40.375
35.22,2.84,6.89,16.83,4,10,0,0,65.001
37.32,2.76,0.49,91.13,4,4,0,0,73.412
44.9,-28.92,0.99,87.14,1,11,0,1,93.512
23.08,-0.95,2.61,26.16,3,4,0,0,64.909
24.6,-35.29,0.0,66.36,0,5,0,0,71.433
27.96,-79.85,5.0,77.41,1,4,0,0,77.924
18.44,41.25,1.29,20.37,6,6,1,0,49.694
16.42,-19.88,0.0,59.08,0,10,0,0,45.529
28.17,-11.11,0.11,82.29,3,2,0,0,67.217
19.71,-68.31,6.4,53.07,3,12,0,0,54.603
34.77,37.2,0.25,88.52,1,4,0,0,71.357
26.86,-56.15,1.95,14.06,0,12,0,0,76.349
40.31,-22.51,0.18,88.13,0,11,0,1,85.646
