date,demand_mgd,temperature_c,humidity_pct,rainfall_mm,day_of_week,month,is_public_holiday,is_festival,population_thousands,season,reservoir_storage_pct,groundwater_level_m
2023-01-01,147.309,28.46,47.24,0.53,6,1,1,0,820.91,winter,58.84,28.25
2023-01-02,136.558,26.44,45.29,0.82,0,1,0,0,819.95,winter,58.82,27.75
2023-01-03,133.336,29.13,47.74,0.54,1,1,0,0,821.5,winter,59.08,27.01
2023-01-04,135.824,29.41,44.06,0.18,2,1,0,0,820.39,winter,54.95,27.58
2023-01-05,133.579,25.07,46.39,0.41,3,1,0,0,820.85,winter,56.22,27.99
2023-01-06,133.635,26.05,45.79,0.09,4,1,0,0,820.56,winter,56.54,28.05
2023-01-07,138.872,28.19,48.89,0.44,5,1,0,0,820.58,winter,59.41,28.7
2023-01-08,136.37,27.53,49.04,0.49,6,1,0,0,819.65,winter,62.06,28.26
2023-01-09,137.64,27.97,36.9,0.42,0,1,0,0,821.14,winter,58.85,28.06
2023-01-10,135.02,26.72,33.76,0.47,1,1,0,0,823.34,winter,64.01,28.02
2023-01-11,135.736,29.32,50.01,0.17,2,1,0,0,820.17,winter,61.12,28.48
2023-01-12,135.652,29.17,50.94,2.03,3,1,0,0,820.67,winter,58.06,27.81
2023-01-13,137.209,28.1,39.9,0.78,4,1,0,0,820.21,winter,61.59,27.99
2023-01-14,139.955,29.69,35.7,0.58,5,1,0,0,820.23,winter,64.56,27.62
2023-01-15,136.876,28.7,45.5,0.65,6,1,0,0,822.31,winter,65.77,28.62
2023-01-16,134.563,26.71,49.65,0.29,0,1,0,0,820.15,winter,63.67,28.22
2023-01-17,142.0,28.55,53.99,1.55,1,1,0,1,820.4,winter,60.52,27.78
2023-01-18,134.754,26.56,47.58,0.09,2,1,0,0,819.35,winter,60.12,28.02
2023-01-19,135.332,29.32,43.14,0.03,3,1,0,0,820.23,winter,62.83,28.28
2023-01-20,134.027,27.93,40.53,0.67,4,1,0,0,819.33,winter,66.45,27.98
2023-01-21,135.77,27.72,45.06,0.52,5,1,0,0,821.73,winter,63.05,27.87
2023-01-22,139.581,26.98,43.5,0.24,6,1,0,0,823.95,winter,63.44,27.82
2023-01-23,135.704,29.83,39.92,2.38,0,1,0,0,820.84,winter,62.55,28.22
2023-01-24,133.403,27.77,55.24,0.75,1,1,0,0,819.6,winter,61.73,27.95
2023-01-25,132.545,27.36,53.93,0.43,2,1,0,0,822.22,winter,62.54,27.91
2023-01-26,134.98,27.47,50.68,0.94,3,1,0,0,820.64,winter,63.75,27.57
2023-01-27,134.909,28.8,40.4,0.11,4,1,0,0,822.73,winter,68.81,28.14
2023-01-28,138.521,28.55,49.28,0.25,5,1,0,0,821.2,winter,63.25,28.04
2023-01-29,138.997,28.62,48.2,0.13,6,1,0,0,820.9,winter,64.43,27.98
2023-01-30,136.906,28.65,47.21,0.14,0,1,0,0,821.41,winter,61.98,28.2
2023-01-31,138.035,31.21,51.25,0.91,1,1,0,0,822.4,winter,67.03,28.42
2023-02-01,137.912,31.39,40.86,0.38,2,2,0,0,821.47,winter,69.27,28.4
2023-02-02,137.777,31.23,41.38,0.49,3,2,0,0,821.26,winter,70.34,28.35
2023-02-03,137.634,30.78,40.86,0.22,4,2,0,0,821.61,winter,66.37,28.04
2023-02-04,139.044,32.92,39.38,0.08,5,2,0,0,820.59,winter,67.77,27.91
2023-02-05,141.255,33.69,28.76,0.18,6,2,0,0,822.32,winter,65.87,27.72
2023-02-06,137.946,31.83,38.1,0.19,0,2,0,0,820.19,winter,68.2,27.91
